b'\xef\xbb\xbfDate, Open, High, Low, Close, Volume
9-May-17,178.90,183.59,178.36,182.98,3479371
8-May-17,178.50,178.54,176.68,177.47,2407935
5-May-17,176.30,178.30,174.77,178.03,2328167
4-May-17,177.89,178.00,176.28,176.71,2129420
3-May-17,179.01,179.01,176.90,177.40,2017176
2-May-17,180.10,180.40,178.00,178.64,2431537
1-May-17,180.45,181.17,177.19,180.06,3486976
28-Apr-17,181.08,182.96,176.07,180.23,7429414
27-Apr-17,187.81,188.60,186.10,187.86,3169531
26-Apr-17,187.90,188.00,184.90,186.67,2895025
25-Apr-17,182.86,187.50,182.33,186.99,3750270
24-Apr-17,180.00,180.65,179.54,180.03,1908395
21-Apr-17,180.40,180.40,177.86,178.08,1628684
20-Apr-17,178.99,180.38,178.41,178.64,2478452
19-Apr-17,175.62,181.18,175.34,177.81,3998405
18-Apr-17,173.31,174.56,172.07,174.47,1806933
17-Apr-17,172.61,173.80,172.61,173.31,1366346
13-Apr-17,173.55,174.76,172.46,172.61,1336652
12-Apr-17,172.47,174.87,172.33,173.61,1205365
11-Apr-17,173.97,175.24,172.58,173.01,1844498
10-Apr-17,172.30,174.68,172.17,174.22,1701045
7-Apr-17,173.68,173.94,171.17,172.44,1963453
6-Apr-17,173.80,174.73,173.04,173.38,2057916
5-Apr-17,175.35,176.31,172.46,172.92,2187201
4-Apr-17,174.76,176.66,174.13,175.20,1899157
3-Apr-17,173.00,175.90,173.00,175.00,2352436
31-Mar-17,171.46,173.95,171.46,172.52,2537027
30-Mar-17,171.71,172.62,171.17,172.36,2381167
29-Mar-17,170.00,172.10,169.34,170.66,1510553
28-Mar-17,168.93,170.67,168.58,169.79,2059211
27-Mar-17,166.23,170.67,166.00,168.93,2047843
24-Mar-17,170.39,170.47,167.85,168.26,2157618
23-Mar-17,168.75,170.02,167.25,169.61,2847655
22-Mar-17,169.82,169.82,167.75,169.56,3482635
21-Mar-17,177.50,177.70,170.27,171.40,3351286
20-Mar-17,177.10,177.86,174.59,176.13,1829136
17-Mar-17,176.89,178.86,176.18,176.62,2017421
16-Mar-17,173.54,177.55,173.40,176.57,4043595
15-Mar-17,173.01,173.31,170.42,172.04,2651259
14-Mar-17,173.00,173.50,172.01,172.84,1015521
13-Mar-17,172.89,174.11,172.50,173.25,1549438
10-Mar-17,173.55,173.91,171.93,172.74,1802656
9-Mar-17,174.03,175.20,172.94,173.32,1943441
8-Mar-17,173.81,175.30,173.30,173.87,1228548
7-Mar-17,172.77,174.00,171.24,173.74,1366521
6-Mar-17,174.15,174.15,172.38,173.30,1223564
3-Mar-17,174.53,175.70,173.28,173.79,1116088
2-Mar-17,175.33,176.49,172.97,174.48,2108826
1-Mar-17,176.44,176.79,175.13,175.33,1799147
28-Feb-17,172.80,175.92,172.80,174.13,2391959
27-Feb-17,175.17,176.28,171.73,172.97,3521219
